OBJECTID_1,OBJECTID,votdst,NAME,SUM_VOTERS,Shape_Length,Shape_Area
1439,1439,1255,SEA 34-1255,461,6684.13218657936,2456599.98104913
1440,1440,1257,SEA 34-1257,551,14107.8095719785,4413311.0689945
1441,1441,1258,SEA 34-1258,367,8834.52882573382,2238682.546285
1442,1442,1259,SEA 34-1259,351,5804.36693101048,1901500.2609174
1443,1443,1408,SEA 34-1408,794,23730.9551731415,10477443.7216638
1444,1444,1409,SEA 34-1409,439,7649.96528012788,2515591.48182013
1445,1445,1410,SEA 34-1410,255,5225.34728900259,1238104.88037247
1446,1446,1411,SEA 34-1411,337,5177.73572543107,1323353.364246
1447,1447,1412,SEA 34-1412,271,6556.80225219909,2105703.06902575
1448,1448,1413,SEA 34-1413,573,16047.5716427917,5695378.55047682
1449,1449,1414,SEA 34-1414,237,6950.38270569973,2092747.04339499
1450,1450,1415,SEA 34-1415,425,5657.70387203763,1203728.58061127
1451,1451,1416,SEA 34-1416,426,5707.18156034793,1415138.6346846
1452,1452,1418,SEA 34-1418,315,5253.88019545,1337640.91482036
1453,1453,1419,SEA 34-1419,700,11553.970803118,5653923.66014717
1454,1454,1420,SEA 34-1420,766,11690.75387703,4179093.84826297
1455,1455,1422,SEA 34-1422,401,5008.31467042817,1556803.03599619
1456,1456,1423,SEA 34-1423,330,5028.29380380006,1469430.85414915
1457,1457,1424,SEA 34-1424,464,8037.93083528835,2377916.41465692
1458,1458,1425,SEA 34-1425,321,5716.29019525102,1246377.14511355
